DeployID,Ptt,Instr,Count,Date,Disposition,Code
176778,176778,Mk10,4,23:00:00 26-Feb-2021,deep,1
176778,176778,Mk10,2,00:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,01:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,02:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,03:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,04:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,05:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,06:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,07:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,08:00:00 27-Feb-2021,neither,2
176778,176778,Mk10,2,09:00:00 27-Feb-2021,neither,2
176778,176778,Mk10,2,10:00:00 27-Feb-2021,neither,2
176778,176778,Mk10,2,11:00:00 27-Feb-2021,neither,2
176778,176778,Mk10,2,12:00:00 27-Feb-2021,neither,2
176778,176778,Mk10,2,13:00:00 27-Feb-2021,neither,2
176778,176778,Mk10,2,14:00:00 27-Feb-2021,neither,2
176778,176778,Mk10,2,15:00:00 27-Feb-2021,neither,2
176778,176778,Mk10,2,16:00:00 27-Feb-2021,neither,2
176778,176778,Mk10,2,17:00:00 27-Feb-2021,neither,2
176778,176778,Mk10,2,18:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,19:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,20:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,21:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,22:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,2,23:00:00 27-Feb-2021,deep,1
176778,176778,Mk10,1,00:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,01:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,02:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,03:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,04:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,05:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,06:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,07:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,08:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,09:00:00 28-Feb-2021,neither,2
176778,176778,Mk10,1,10:00:00 28-Feb-2021,neither,2
176778,176778,Mk10,1,11:00:00 28-Feb-2021,neither,2
176778,176778,Mk10,1,12:00:00 28-Feb-2021,neither,2
176778,176778,Mk10,1,13:00:00 28-Feb-2021,neither,2
176778,176778,Mk10,1,14:00:00 28-Feb-2021,neither,2
176778,176778,Mk10,1,15:00:00 28-Feb-2021,neither,2
176778,176778,Mk10,1,16:00:00 28-Feb-2021,neither,2
176778,176778,Mk10,1,17:00:00 28-Feb-2021,neither,2
176778,176778,Mk10,1,18:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,19:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,20:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,21:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,22:00:00 28-Feb-2021,deep,1
176778,176778,Mk10,1,23:00:00 28-Feb-2021,neither,2
